"번호","학교명_한국어","학교명_일본어","지역","주소","네팔학생_확인근거","근거자료_기준일","근거_URL","문의폼_URL","문의방법","전화","이메일","추가_URL","문의_참고사항"
"1","오사카 미나미 일본어학교","大阪みなみ日本語学校","오사카시 히라노구","大阪市平野区喜連5-2-38","공식 사이트에 네팔 학생 수용 명시","공식 안내에 별도 기준일 없음","https://osaka-minami.com/?p=1559","https://osaka-minami.com/?page_id=1629","일반 문의 폼·기관 제휴 문의","06-4306-4000","info@osaka-minami.com","https://osaka-minami.com/?p=1985","중개기관 등록 안내 있음. 공식 안내에서 연결한 등록 폼: https://forms.gle/wiquHWK7WuCqoSjZ7 (Google 폼 내부는 조사 도구로 열람하지 못함). 2026년 모집 마감; 다음 입학기는 2027년 4월로 안내. 현재 잔여 정원은 문의 필요. 모집 안내: https://osaka-minami.com/?p=1405"
"2","휴먼아카데미 일본어학교 오사카교","ヒューマンアカデミー日本語学校大阪校","오사카시 주오구","大阪市中央区北久宝寺町2-5-9 飛栄創建ビル","일본어교육진흥협회 자료상 네팔 유학생 451명","2025-07","https://www.nisshinkyo.org/search/college.php?id=353","https://www.athuman.com/sysform/hajl-inquiry_ja-pc/","학교 공통 문의 폼","","ojp22@athuman.com","https://hajl.athuman.com/info/?code=19001","희망 교사 항목에서 大阪校 선택. 공식 사이트의 유학 대리점 담당자 문의 링크도 이 문의 폼으로 연결됨. 재학생 수는 2025년 7월 기준."
"3","에일학원 일본어교육학과","エール学園 日本語教育学科","오사카시 나니와구","大阪市浪速区難波中3-9-1（入試事務局）","공식 일본어교육학과 소식에서 네팔 재학생의 활동 확인","2026-09-16 게시","https://jls.ehle.ac.jp/category/event/","https://jls.ehle.ac.jp/contact/","소개자·에이전트 및 학생 정보 입력 폼","06-6647-0018","","","소개자/에이전트 이름과 회사명 입력란 있음. 학생 이름·이메일·생년월일·국적·학력·일본어 학습 이력·희망 입학기 등이 필수이므로 특정 학생을 소개할 때 적합."
"4","GK 일본어학교","GK日本語学校","오사카시 스미노에구","大阪市住之江区北加賀屋3-4-7","네팔 학생의 공식 인터뷰 게재","2023년 4월 입학생 인터뷰","https://www.gk-jls.com/en/%E8%A4%87%E8%A3%BD-%E3%82%B5%E3%83%81%E3%83%84-2","https://www.gk-jls.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B","일반 문의 폼","06-4702-2617","gk-jpns@gk-jps.osaka.jp","","이름·국적·이메일·문의 내용 입력란 확인. 신규 입학기 모집 상황은 문의 필요."
"5","오사카 일본어아카데미","大阪日本語アカデミー","오사카시 히라노구","大阪市平野区長吉長原西2-2-12","일본어교육진흥협회 자료상 네팔 유학생 40명","2025-07","https://www.nisshinkyo.org/search/college.php?id=495","https://oja.jp/contact/","일반 문의 폼","06-6707-2227","contact@oja.jp","https://oja.jp/en/contact/","영어 문의 폼도 있음. 공식 네팔 졸업생 소개: https://oja.jp/student"
"6","에비스 일본어학교","えびす日本語学校","오사카시 히가시나리구","大阪市東成区中道3-15-24 福和楽玉造ビル","공식 FAQ에 재학생 출신국으로 네팔 명시","국적 안내 부근 2025년 1월 표시","https://iebisu.com/","https://iebisu.com/contact/","일반 문의 폼","06-6147-5294","info@iebisu.com","","이름·전화·이메일·문의 내용 입력 항목 안내. 개인정보 동의 항목 있음."
"7","웰 일본어학원","ウェル日本語学院","오사카시 이쿠노구","大阪市生野区巽中3-20-12 ウェルIMCビル","공식 입학식 소식에 네팔 유학생 입학 명시","2025-04-29 게시","https://japanese-school.wellgroup.jp/topics/66/","https://japanese-school.wellgroup.jp/contact/","자료 요청·일반 문의 폼","06-6751-4120","well-japanese@wellconsul.co.jp","https://japanese-school.wellgroup.jp/wp-content/themes/well/assets/pdf/admission_guide.pdf","문의 내용에서 お問い合わせ 선택. 이름·이메일·전화·국적 필수. 사이트 제목은 ウェルグループ日本語学院으로도 표시."
"8","루프 인터내셔널 일본어학교","ループインターナショナル日本語学校","오사카시 요도가와구","大阪市淀川区東三国2-32-17 ループ大阪","공식 2024년도 자체평가서에 네팔 재학생 명시","2025-03-31 작성","https://loop-ijlschool.com/wp-content/uploads/2025/05/2024%E5%B9%B4%E5%BA%A6_%E8%87%AA%E5%B7%B1%E7%82%B9%E6%A4%9C%E5%8F%8A%E3%81%B3%E8%87%AA%E5%B7%B1%E8%A9%95%E4%BE%A1.pdf","https://loop-ijlschool.com/contact/","일반 문의 폼","06-6394-7777","info@loop-ijlschool.com","https://loop-ijlschool.com/en/contact/","영문 폼 있음. 이름·이메일·전화·문의 내용 필수. 확인 화면 없이 전송되는 방식이므로 입력 내용 확인 필요."
"9","J국제학원","J国際学院","오사카시 니시구","大阪市西区立売堀1-1-3","공식 학교 소개에 학생 출신국으로 네팔 명시","공식 안내에 별도 기준일 없음","https://jcom-ies.co.jp/schoolinfo/","https://jcom-ies.co.jp/faq/","FAQ 페이지 하단 문의 폼","06-6532-7480","info@jcom-ies.co.jp","https://www.nisshinkyo.org/search/college.php?id=325&lng=2","FAQ 페이지 하단 お問い合わせフォーム 이용. 영어·한국어 등 언어별 문의 링크 있음. 제목·이름·국적·성별·이메일 필수."
"10","원퍼퍼스 국제학원","ワン・パーパス国際学院","오사카시 미야코지마구","大阪市都島区大東町3-6-18","일본어교육진흥협회 자료상 네팔 유학생 40명","2025-07","https://www.nisshinkyo.org/search/college.php?id=321","https://www.one-purpose.co.jp/?page_id=246","FAQ 아래 일반 문의 폼","06-6921-0055","info@one-purpose.co.jp","https://www.one-purpose.co.jp/?page_id=77","이름·이메일·메시지 필수. 제목 입력 가능. 재학생 수는 2025년 7월 기준."
